keyword,nhom_adgroup,intent_tier,loai_hinh,khu_vuc,match_type,uu_tien,ghi_chu,ngay_them,vol_thang,canh_tranh,bid_thap_d,bid_cao_d,ngay_do_volume
beachtro tower chính sách bán hàng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower tiến độ thanh toán,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower pháp lý,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,yếu tố tin tưởng | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower có nên mua,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,"cân nhắc, đẩy content so sánh | CĐT: Sun Group",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower nhà mẫu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,intent đi xem - lead chất lượng cao | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower trả góp,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower chiết khấu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,ưu đãi | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower lãi suất,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower tiến độ xây dựng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower review,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,cần negative 'lừa đảo' | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower đánh giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,cân nhắc | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower bàn giao khi nào,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,"brand dự án, exact - CPC rẻ nhất | CĐT: Sun Group | alias của 'beachtro tower'",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,hỏi giá brand | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city bảng giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,lead magnet bảng giá | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city giá bao nhiêu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,long-tail hỏi giá | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city mở bán,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,hàng mới | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city mua,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent mua | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city chủ đầu tư,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,xác minh CĐT | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city vị trí,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block vị trí LP | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city mặt bằng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block mặt bằng | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city tiện ích,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block tiện ích | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city chính sách bán hàng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city tiến độ thanh toán,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city pháp lý,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,yếu tố tin tưởng | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city có nên mua,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,"cân nhắc, đẩy content so sánh | CĐT: Sun Group | alias của 'beachtro tower'",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city nhà mẫu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,intent đi xem - lead chất lượng cao | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city trả góp,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city chiết khấu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,ưu đãi | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city lãi suất,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city tiến độ xây dựng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city review,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,cần negative 'lừa đảo' | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city đánh giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,cân nhắc | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower blanca city bàn giao khi nào,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,"brand dự án, exact - CPC rẻ nhất | CĐT: Sun Group | alias của 'beachtro tower'",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,hỏi giá brand | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu bảng giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,lead magnet bảng giá | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu giá bao nhiêu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,long-tail hỏi giá | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu mở bán,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,hàng mới | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu mua,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent mua | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu chủ đầu tư,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,xác minh CĐT | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu vị trí,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block vị trí LP | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu mặt bằng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block mặt bằng | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu tiện ích,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block tiện ích | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu chính sách bán hàng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu tiến độ thanh toán,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu pháp lý,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,yếu tố tin tưởng | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu có nên mua,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,"cân nhắc, đẩy content so sánh | CĐT: Sun Group | alias của 'beachtro tower'",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu nhà mẫu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,intent đi xem - lead chất lượng cao | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu trả góp,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu chiết khấu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,ưu đãi | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu lãi suất,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu tiến độ xây dựng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu review,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,cần negative 'lừa đảo' | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu đánh giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,cân nhắc | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro vũng tàu bàn giao khi nào,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,"brand dự án, exact - CPC rẻ nhất | CĐT: Sun Group | alias của 'beachtro tower'",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,hỏi giá brand | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro bảng giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,lead magnet bảng giá | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro giá bao nhiêu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,long-tail hỏi giá | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro mở bán,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,hàng mới | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro mua,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent mua | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro chủ đầu tư,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,xác minh CĐT | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro vị trí,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block vị trí LP | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro mặt bằng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block mặt bằng | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro tiện ích,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block tiện ích | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro chính sách bán hàng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro tiến độ thanh toán,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro pháp lý,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,yếu tố tin tưởng | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro có nên mua,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,"cân nhắc, đẩy content so sánh | CĐT: Sun Group | alias của 'beachtro tower'",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro nhà mẫu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,intent đi xem - lead chất lượng cao | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro trả góp,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro chiết khấu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,ưu đãi | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro lãi suất,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro tiến độ xây dựng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro review,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,cần negative 'lừa đảo' | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro đánh giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,cân nhắc | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
căn hộ beachtro bàn giao khi nào,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,"brand dự án, exact - CPC rẻ nhất | CĐT: Sun Group | alias của 'beachtro tower'",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,hỏi giá brand | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro bảng giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,lead magnet bảng giá | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro giá bao nhiêu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,long-tail hỏi giá | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro mở bán,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,hàng mới | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro mua,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent mua | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro chủ đầu tư,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,xác minh CĐT | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro vị trí,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block vị trí LP | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro mặt bằng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block mặt bằng | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro tiện ích,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block tiện ích | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro chính sách bán hàng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro tiến độ thanh toán,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent chốt cao | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro pháp lý,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,yếu tố tin tưởng | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro có nên mua,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,"cân nhắc, đẩy content so sánh | CĐT: Sun Group | alias của 'beachtro tower'",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro nhà mẫu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,intent đi xem - lead chất lượng cao | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro trả góp,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro chiết khấu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,ưu đãi | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro lãi suất,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,tài chính | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro tiến độ xây dựng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro review,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,cần negative 'lừa đảo' | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro đánh giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,cân nhắc | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
tháp beachtro bàn giao khi nào,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,3,khách đã mua | CĐT: Sun Group | alias của 'beachtro tower',2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
